Asset Id;Name;IP Addresses;Modules;OS;Last Logged-In User;Last Inventory;Activity;NetBIOS Name;Sources;Tags
20096852;SPRDSHPINTGRU03.gru.local;172.31.49.243;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 R2 Datacenter 6.3.9600 64-bit N/A Build 9600 UBR 19920;gru.local\adm-felipe.novais.t;16 May 2025 01:09AM GMT-0300;Inventory Scan Complete;SPRDSHPINTGRU03;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
20891478;sprdbdoragru04.gru.local;169.254.249.133,172.31.49.141,10.1.1.17,172.31.49.91,fe80:0:0:0:baca:3aff:fe33:8ea8,172.31.49.145;VM,SCA,PM,CSAM;Red Hat Enterprise Linux Server 6.10;root;15 May 2025 09:39PM GMT-0300;Manifest Downloaded;;Cloud Agent;Cloud Agent, GRU_ACN_5-Catastrofico, GRU-GERAL, GRU_CAT_ACN-CMS
112279769;sprdapbigru02;fe80:0:0:0:569f:35ff:fe71:def6,172.31.49.169,10.1.1.130,fe80:0:0:0:569f:35ff:fe71:d97c;VM,SCA,PM,CSAM;Red Hat Enterprise Linux Server 6.6;sysgru;15 May 2025 10:42PM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
70206041;SPRDAPPTCAGRU01.gru.local;172.31.50.78;VM,SCA,PM,CSAM;Microsoft Windows Server 2008 R2 Enterprise 6.1.7601 64-bit Service Pack 1 Build 7601 UBR 24055;GRU\svc-cms-logon;16 May 2025 02:06AM GMT-0300;Inventory Scan Complete;SPRDAPPTCAGRU01;Cloud Agent;Cloud Agent, GRU_ACN_4-Perigoso, GRU-GERAL, GRU_CAT_ACN-CMS
20094795;SPRDSHPINTGRU04.gru.local;172.31.49.244;VM,SCA,PM,CSAM;Microsoft Windows Server 2012 R2 Datacenter 6.3.9600 64-bit N/A Build 9600 UBR 19920;gru.local\sistemas.gru;16 May 2025 03:35AM GMT-0300;Inventory Scan Complete;SPRDSHPINTGRU04;Cloud Agent;Cloud Agent, GRU_ACN_4-Perigoso, GRU-GERAL, GRU_CAT_ACN-INFRACRITICA
24211445;SPRDAPWEBGRU02.gru.local;172.31.49.228;VM,SCA,PM,CSAM;Microsoft Windows Server 2008 R2 Enterprise 6.1.7601 64-bit Service Pack 1 Build 7601 UBR 24055;gru.local\sistemas.gru;16 May 2025 01:52PM GMT-0300;Inventory Scan Complete;SPRDAPWEBGRU02;Cloud Agent;Cloud Agent, GRU_ACN_5-Catastrofico, GRU-GERAL, GRU_CAT_ACN-AMS
109535246;SPRDMONGRU01;fe80:0:0:0:250:56ff:feb6:66a2,172.31.49.41;VM,SCA,PM,CSAM;Ubuntu Linux 22.04.5;root;16 May 2025 02:00PM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
101802141;SPRDAPJPGRU03.gru.local;172.31.131.70,fe80:0:0:0:342f:fbf9:47a:218a;VM,SCA,PM,CSAM;Microsoft Windows Server 2019 Standard 10.0.17763 64-bit N/A Build 17763 UBR 6054;GRU\svc-mgmt;16 May 2025 02:48AM GMT-0300;Inventory Scan Complete;SPRDAPJPGRU03;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
114348126;SHOMAPBISCCGRU01;192.168.122.1,10.36.52.234;VM,SCA,PM,CSAM;Red Hat Enterprise Linux 8.10;root;15 May 2025 09:06PM GMT-0300;Inventory Scan Complete;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
24801259;SPRDAPNEPSGRU01.gru.local;172.31.50.85;VM,SCA,PM,CSAM;Microsoft Windows Server 2008 R2 Enterprise 6.1.7601 64-bit Service Pack 1 Build 7601;GRU\svc-mgmt;16 May 2025 02:31AM GMT-0300;Inventory Scan Complete;SPRDAPNEPSGRU01;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
20350882;SPRDAPRPGRU13;192.168.0.59,fe80:0:0:0:250:56ff:feb6:1ca9;VM,SCA,PM,CSAM;Ubuntu Linux 22.04.5;root;15 May 2025 10:13PM GMT-0300;Manifest Downloaded;;Cloud Agent;Cloud Agent, GRU-GERAL, GRU-CAT-Servidores
